Ivy Tech Course,IU Course,Gen Ed Area
""
""
Equivalencies by Gen Ed Area
""
""
""
WL
AMSL 101,SPHS-A 100,WL
AMSL 102,SPHS-A 150,WL
FREN 101,FRIT-F 100,WL
FREN 102,FRIT-F 150,WL
FREN 201,FRIT-F 200,WL
FREN 202,FRIT-F 250,WL
GERM 201,GER-G 200,WL
GERM 202,GER-G 250,WL
SPAN 101,HISP-S 100,WL
SPAN 102,HISP-S 150,WL
SPAN 201,HISP-S 200,WL
SPAN 202,HISP-S 250,WL
Total:,12
""
""
""
SH
ANTH 154,ANTH-E 105,SH
ARTH 101,ARTH-A 101,SH
ARTH 102,ARTH-A 102,SH
BUSN 101,BUS-X 100,SH
BUSN 108,BUS-F 260,SH
CRIM 101,CJUS-P 100,SH
CRIM 105,CJUS-P 200,SH
ECED 120,EDUC-P 248,SH
ECON 201,ECON-E 202,SH
ECON 202,ECON-E 201,SH
EDUC 101,EDUC-F 200,SH
EDUC 121,EDUC-P 248,SH
ENGL 249,LING-L 103,SH
GEOG 207,GEOG-G 120,SH
HIST 101,HIST-H 105,SH
HIST 102,HIST-H 106,SH
HIST 210,HIST-A 200,SH
HUMS 109,SWK-S 102,SH
HUMS 207,SWK-S 251,SH
HUMS 269,SWK-S 221,SH
POLS 101,POLS-Y 103,SH
POLS 112,POLS-Y 200,SH
POLS 211,POLS-Y 109,SH
PSYC 240,SPH-F 255,SH
SOCI 111,SOC-S 100,SH
SOCI 164,SOC-S 101,SH
SOCI 252,SOC-S 101,SH
SOCI 253,SOC-S 230,SH
Total:,28
""
""
""
WC
ARTH 101,ARTH-A 101,WC
ARTH 102,ARTH-A 102,WC
Total:,2
""
""
""
AH
ARTS 100,SOAD-A 102,AH
ARTH 110,ARTH-H 100,AH
ARTS 262,THTR-T 120,AH
ENGL 202,ENG-W 103,AH
ENGL 214,ENG-L 205,AH
ENGL 227,ENG-L 204,AH
HUMA 117,MUS-Z 111,AH
HUMA 118,MUS-Z 101,AH
HUMA 202,CMLT-C 256,AH
HUMA 201,CMLT-C 255,AH
PHIL 101,PHIL-P 100,AH
PHIL 102,PHIL-P 140,AH
PHIL 213,PHIL-P 150,AH
Total:,13
""
""
""
NM
ASTR 101,AST-A 100,NM
ASTR 102,AST-A 105,NM
BIOL 100,BIOL-L 100,NM
BIOL 101,BIOL-L 104,NM
BIOL 110,BIOL-L 104,NM
BIOT 100,BIOL-L 104,NM
CHEM 101,CHEM-C 101,NM
CHEM 111,CHEM-C 101,NM
CHEM 112,CHEM-C 102,NM
CINS 101,CSCI-A 110,NM
EDUC 224,EDUC-Q 200,NM
GEOL 105,EAS-E 103,NM
MATH 135,MATH-M 118,NM
MATH 201,MATH-M 119,NM
MATH 202,MATH-M 120,NM
MATH 211,MATH-M 211,NM
MATH 212,MATH-M 212,NM
MATH 218,MATH-M 211,NM
PHYS 101,PHYS-P 201,NM
PHYS 102,PHYS-P 202,NM
PSYC 101,PSY-P 101,NM
PSYC 211,PSY-P 211,NM
SCIN 100,EAS-E 105,NM
SCIN 101,PHYS-P 120,NM
Total:,24
""
""
""
EC
ENGL 111,ENG-W 131,EC
Total:,1
""
""
""
MM
